Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	Red Bull 	Perez 	2.23 	68 	25
2 	Red Bull 	Verstappen 	2.30 	12 	18
3 	Red Bull 	Perez 	2.31 	37 	0
4 	Aston Martin 	Alonso 	2.34 	12 	15
5 	McLaren 	Piastri 	2.41 	37 	12
6 	AlphaTauri 	Tsunoda 	2.46 	1 	10
7 	McLaren 	Norris 	2.47 	35 	8
8 	Aston Martin 	Stroll 	2.48 	11 	6
9 	Alpine 	Ocon 	2.58 	36 	4
10 	Aston Martin 	Stroll 	2.59 	27 	0
11 	Aston Martin 	Alonso 	2.67 	41 	0
12 	Mercedes 	Hamilton 	2.77 	40 	2
13 	Red Bull 	Verstappen 	2.79 	42 	0
14 	Alfa Romeo 	Zhou 	2.81 	12 	1
15 	Ferrari 	Sainz 	2.87 	38 	0
16 	AlphaTauri 	De Vries 	2.91 	50 	0
17 	Alfa Romeo 	Bottas 	2.92 	36 	0
18 	Alpine 	Ocon 	2.96 	12 	0
19 	Alpine 	Gasly 	2.98 	33 	0
20 	Ferrari 	Leclerc 	2.99 	39 	0
21 	Haas 	Magnussen 	3.01 	53 	0
22 	Haas 	Hulkenberg 	3.12 	31 	0
23 	Haas 	Magnussen 	3.19 	35 	0
24 	Haas 	Hulkenberg 	3.23 	11 	0
25 	Mercedes 	Hamilton 	3.26 	12 	0
26 	McLaren 	Piastri 	3.30 	12 	0
27 	Williams 	Albon 	3.69 	12 	0
28 	AlphaTauri 	De Vries 	3.89 	11 	0
29 	McLaren 	Norris 	4.22 	12 	0
30 	Alfa Romeo 	Zhou 	6.34 	32 	0
31 	AlphaTauri 	Tsunoda 	6.47 	34 	0
32 	Alpine 	Gasly 	6.60 	10 	0
33 	Mercedes 	Russell 	64.16 	12 	0
