Pos. 	Team 	Driver 	Time (sec) 	Lap 	Points
1 	McLaren 	Norris 	2.13 	22 	25
2 	Ferrari 	Leclerc 	2.32 	20 	18
3 	Red Bull 	Perez 	2.35 	21 	15
4 	AlphaTauri 	Lawson 	2.51 	33 	12
5 	AlphaTauri 	Lawson 	2.53 	13 	0
6 	Red Bull 	Verstappen 	2.54 	20 	10
7 	Alfa Romeo 	Zhou 	2.63 	11 	8
8 	Mercedes 	Russell 	2.66 	19 	6
9 	Alpine 	Ocon 	2.69 	24 	4
10 	McLaren 	Piastri 	2.77 	23 	2
11 	Mercedes 	Hamilton 	2.83 	27 	1
12 	Haas 	Magnussen 	2.98 	12 	0
13 	Alfa Romeo 	Bottas 	3.01 	25 	0
14 	Williams 	Albon 	3.05 	15 	0
15 	Alpine 	Gasly 	3.05 	31 	0
16 	Haas 	Hulkenberg 	3.17 	39 	0
17 	Aston Martin 	Alonso 	3.18 	21 	0
18 	Haas 	Magnussen 	3.18 	33 	0
19 	Williams 	Sargeant 	3.24 	14 	0
20 	Ferrari 	Sainz 	3.35 	19 	0
21 	Aston Martin 	Stroll 	3.96 	20 	0
22 	Alfa Romeo 	Zhou 	4.15 	33 	0
23 	Haas 	Hulkenberg 	4.48 	14 	0
24 	Alpine 	Gasly 	5.98 	10 	0
25 	McLaren 	Piastri 	10.21 	41 	0
